 title               , title_EN, poster_src                                    , opening_date , ratings                    , duration , director      , cast                                                                             , language                  , genre          , introduction                                                                                                                                                                                                                                                                                , showdate            , showtime , recommended_movie                                                                                                                                                                                           
 Prince (Digital) , Prince (Digital),https://www.wecinemas.com.sg/Data/Movies/2078/158_1.jpg             ,44855, PG (Some Violence)               ,150 mins, Mr.Anudeep K.V.  , Sivakarthikeyan: Maria Ryaboshapka: Sathyaraj and others                                                   , Tamil                   , Drama          , Anbu a social science teacher in the town of Devanakottai falls in with a young British woman Jessica who come to teach English in the same school as Anbu. The love leads to a comedy of errors due to the difference in the cultures and opinions of the people of the town and the couple themselves. Will anbu and jessica unite inspire o all of these discriminations and the differences that the society has forced upon them?A fun filled comedy of errors which celebrates the idea of harmony and peace in a world filled with discriminations and differences. ,"['25 Oct 2022', '26 Oct 2022']",2:35PM ,"[['/Data/Movies/2025/158_1.jpg', 'Marvel Studios_ Black Panther: Wakanda Forever (Digital)', '10 Nov 2022'], ['/Data/Movies/2058/158_1.jpg', 'Mrs Harris Goes to Paris (Digital)', '20 Oct 2022'], ['/Data/Movies/2082/158_1.jpg', 'Sardar (Digital)', '21 Oct 2022'], ['/Data/Movies/2036/158_1.jpg', 'Ajoomma (NC16) (Digital)', '27 Oct 2022']]                         "
 Sardar (Digital)          , Sardar (Digital) ,https://www.wecinemas.com.sg/Data/Movies/2082/158_1.jpg             ,44855,PG13 (Some Violence)             ,166 mins, P.S. Mithran    , karthi:rajisha vijayan:raashi Khanna and others.                                                       , Tamil                   ," Action, Drama      ", TBA                                                                                                                                                                                                                                                                                    ,"['25 Oct 2022', '26 Oct 2022']",5:25PM ,"[['/Data/Movies/2025/158_1.jpg', 'Marvel Studios_ Black Panther: Wakanda Forever (Digital)', '10 Nov 2022'], ['/Data/Movies/2067/158_1.jpeg', 'Black Adam (First Class)', '20 Oct 2022'], ['/Data/Movies/2058/158_1.jpg', 'Mrs Harris Goes to Paris (Digital)', '20 Oct 2022'], ['/Data/Movies/2078/158_1.jpg', 'Prince (Digital)', '21 Oct 2022']]                         "
 Black Adam (First Class)      , Black Adam (First Class) ,https://www.wecinemas.com.sg/Data/Movies/2067/158_1.jpeg            ,44854,PG13 (Some Violence)      ,125 mins, Jaume Collet-Serra ," Dwayne Johnson, Sarah Shahi, Pierce Brosnan, Aldis Hodge                                                   ", Englishwith Chinese Subtitles       ," Action, Sci-Fi, Fantasy ","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam (Johnson) is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.                                                                                                                                                               ","['25 Oct 2022', '26 Oct 2022']",2:10PM ,"[['/Data/Movies/2025/158_1.jpg', 'Marvel Studios_ Black Panther: Wakanda Forever (Digital)', '10 Nov 2022'], ['/Data/Movies/2082/158_1.jpg', 'Sardar (Digital)', '21 Oct 2022'], ['/Data/Movies/1989/158_3.jpg', ""Disney's Strange World (Digital)"", '24 Nov 2022'], ['/Data/Movies/2022/158_1.jpg', 'Lyle, Lyle, Crocodile (Digital)', '1 Dec 2022']]                       "
 Black Adam (Digital)        , Black Adam (Digital) ,https://www.wecinemas.com.sg/Data/Movies/1910/158_bkad-we-e-poster_updated350.jpg,44854,PG13 (Some Violence)      ,125 mins, Jaume Collet-Serra ," Dwayne Johnson, Sarah Shahi, Pierce Brosnan, Aldis Hodge                                                   ", Englishwith Chinese Subtitles       ," Action, Sci-Fi, Fantasy ","Movie free listed from 27 October 2022Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam (Johnson) is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.                                                                                                                                            ","['25 Oct 2022', '26 Oct 2022']",2:00PM ,"[['/Data/Movies/2025/158_1.jpg', 'Marvel Studios_ Black Panther: Wakanda Forever (Digital)', '10 Nov 2022'], ['/Data/Movies/2082/158_1.jpg', 'Sardar (Digital)', '21 Oct 2022'], ['/Data/Movies/1989/158_3.jpg', ""Disney's Strange World (Digital)"", '24 Nov 2022'], ['/Data/Movies/2022/158_1.jpg', 'Lyle, Lyle, Crocodile (Digital)', '1 Dec 2022']]                       "
 Mrs Harris Goes to Paris (Digital) , Mrs Harris Goes to Paris (Digital),https://www.wecinemas.com.sg/Data/Movies/2058/158_1.jpg             ,44854, PG                       ,116 mins, Anthony Fabian   ," Jason Isaacs, Lesley Manville, Isabelle Huppert                                                        ", Englishwith no subtitles         , Drama          ,Movie free listed from 27 October 2022.A new adaptation of Paul Gallico's much-loved novel about a cleaning lady in 1950s London who falls in love with an haute couture dress by Christian Dior and decides to gamble everything for the sake of this folly.                                                                                                                                                      ,"['25 Oct 2022', '26 Oct 2022']",9:15PM ,"[['/Data/Movies/2025/158_1.jpg', 'Marvel Studios_ Black Panther: Wakanda Forever (Digital)', '10 Nov 2022'], ['/Data/Movies/2078/158_1.jpg', 'Prince (Digital)', '21 Oct 2022'], ['/Data/Movies/2082/158_1.jpg', 'Sardar (Digital)', '21 Oct 2022'], ['/Data/Movies/2036/158_1.jpg', 'Ajoomma (NC16) (Digital)', '27 Oct 2022']]                                  "
Halloween Ends (M18) (First Class),Halloween Ends (M18) (First Class),https://www.wecinemas.com.sg/Data/Movies/2075/158_1.jpeg            ,44847,M18 (Violence and Gore)    ,111 mins, David Gordon Green ," Judy Greer, Jamie Lee Curtis, Nick Castle, Andi Matichak                                                   ", Englishwith Chinese Subtitles       ," Horror, Thriller    ", The saga of Michael Myers and Laurie Strode ends.                                                                                                                                                                                                                                                             ,"['25 Oct 2022', '26 Oct 2022']",4:00PM ,"[['/Data/Movies/2025/158_1.jpg', 'Marvel Studios_ Black Panther: Wakanda Forever (Digital)', '10 Nov 2022'], ['/Data/Movies/2080/158_b.jpg', 'Prey For The Devil (NC16) (Digital)', '27 Oct 2022'], ['/Data/Movies/2032/158_1.jpg', 'The Menu (Digital)', '17 Nov 2022'], ['/Data/Movies/2066/158_intl_ov_bones_vert_main_2764x4096_intl_350x517.jpg', 'Bones and All (Digital)', '24 Nov 2022']]  "
 Ticket to Paradise (Digital)    , Ticket to Paradise (Digital) ,https://www.wecinemas.com.sg/Data/Movies/2007/158_1.jpg             ,6 Oct 2022 ,PG13 (Some Coarse Language)   ,104 mins, OI Parker     ," Julia Roberts, Kaitlyn Dever, Billie Lourd, George Clooney                                                  ", Englishwith Chinese Subtitles       ," Comedy, Romance     ",Movie free listed from 13 October 2022.A divorced couple that teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.                                                                                                                                                                                            ,"['25 Oct 2022', '26 Oct 2022']",4:25PM ,"[['/Data/Movies/2025/158_1.jpg', 'Marvel Studios_ Black Panther: Wakanda Forever (Digital)', '10 Nov 2022'], ['/Data/Movies/2032/158_1.jpg', 'The Menu (Digital)', '17 Nov 2022'], ['/Data/Movies/2066/158_intl_ov_bones_vert_main_2764x4096_intl_350x517.jpg', 'Bones and All (Digital)', '24 Nov 2022'], ['/Data/Movies/1929/158_1.jpg', 'Puss in Boots: The Last Wish (Digital)', '8 Dec 2022']] "
 ONE PIECE FILM RED (Digital)    , ONE PIECE FILM RED (Digital) ,https://www.wecinemas.com.sg/Data/Movies/2016/158_1.jpg             ,44833,PG13 (Some Violence)      ,115 mins, Goro Taniguchi   , Kaori Nazuka as Uta Mayumi Tanaka as Monkey D. Luffy Akemi Okamura as Nami Kappei Yamaguchi as Usopp Hiroaki Hirata as Sanji Ikue _tani as Tony Tony Chopper , Japanesewith English & Chinese Subtitles , Animation        ," Uta Ñ the most beloved singer in the world.Her voice, which she sings with while concealing her true identity,has been described as _otherworldly.ÓShe will appear in public for the first time at a live concert.As the venue fills with all kinds of Uta fans Ñ excited pirates, the Navy watching closely, and the Straw Hats led by Luffy who simply came to enjoy her sonorous performance Ñ the voice that the whole world has been waiting for is about to resound.The story begins with the shocking fact that she is ""Shanks' daughter.Ó             ","['25 Oct 2022', '26 Oct 2022']",6:45PM ,"[['/Data/Movies/2025/158_1.jpg', 'Marvel Studios_ Black Panther: Wakanda Forever (Digital)', '10 Nov 2022'], ['/Data/Movies/1989/158_3.jpg', ""Disney's Strange World (Digital)"", '24 Nov 2022'], ['/Data/Movies/1929/158_1.jpg', 'Puss in Boots: The Last Wish (Digital)', '8 Dec 2022'], ['/Data/Movies/2076/158_2.jpg', 'The Super Mario Bros. Movie (Digital)', '6 Apr 2023']] "
